question,answer_0,answer_1,answer_2,answer_3,label
"Batman, The Mask, The Fugitive, Pretty Woman:",The Front Page,Maelstrom,The Lion King,Lamerica,2
"The Lion King, Pretty Woman, Pulp Fiction, Batman:",Sex and the City 2,Under the Sand,The Mask,National Lampoon's Senior Trip,2
"Interview with the Vampire The Vampire Chronicles, The Shawshank Redemption, The Fugitive, The Usual Suspects:",Pulp Fiction,The Devil's Own,Love and Other Catastrophes,"Mesrine Public Enemy #1",0
"Interview with the Vampire The Vampire Chronicles, The Lion King, Braveheart, The Shawshank Redemption:",Dances with Wolves,The Killer Shrews,Uptown Girls,The Den,0
"Apollo 13, Schindler's List, Pretty Woman, Braveheart:",The Fly,Metropia,"Ciao, Professore!",Dances with Wolves,3
"Apollo 13, Batman, Schindler's List, Braveheart:",Tyler Perry's Daddy's Little Girls,Titanic,The Shawshank Redemption,Adanggaman,2
"The Lion King, Dances with Wolves, Braveheart, Schindler's List:",Pickup on South Street,Poltergeist III,Crush,The Shawshank Redemption,3
"The Fugitive, Interview with the Vampire The Vampire Chronicles, The Mask, The Lion King:",Babe,The House,Saving Santa,Experimenter,0
"The Shawshank Redemption, Clueless, Pulp Fiction, Dances with Wolves:",Let Me In,Schindler's List,The Last Castle,The Treasure of the Sierra Madre,1
"Dances with Wolves, Pulp Fiction, Apollo 13, Schindler's List:",Pokémon Heroes,The Usual Suspects,Mars Needs Moms,Samurai Rebellion,1
"The Usual Suspects, Braveheart, Dances with Wolves, Pulp Fiction:",Shake Hands with the Devil,Fanny and Alexander,The Fugitive,Robin Hood,2
"Batman, The Mask, The Lion King, Pretty Woman:",Los Angeles Plays Itself,Gintama The Final Chapter - Be Forever Yorozuya,Doctor Who Last Christmas,The Fugitive,3
"Pretty Woman, The Mask, Pulp Fiction, The Lion King:",The Eyes of Tammy Faye,Hollywoodland,Snow White and the Huntsman,Batman,3
"The Usual Suspects, Interview with the Vampire The Vampire Chronicles, The Shawshank Redemption, Pulp Fiction:",Toy Soldiers,The Fugitive,The Wasp Woman,Baxter,1
"Pulp Fiction, Schindler's List, Apollo 13, Dances with Wolves:",Iron Eagle IV,The Shawshank Redemption,Knockin' on Heaven's Door,Aguirre The Wrath of God,1
"Dances with Wolves, Pulp Fiction, Schindler's List, The Shawshank Redemption:",Sound of the Mountain,Braveheart,Ruby Red,Candleshoe,1
"The Usual Suspects, Braveheart, Pulp Fiction, Schindler's List:",The Cabinet of Dr Caligari,The Shawshank Redemption,Spider-Man 2,Taxi,1
"Dead Man Walking, Terminator 2 Judgment Day, The Shawshank Redemption, The Fugitive:",King of New York,Field of Dreams,The General,Braveheart,3
"The Shawshank Redemption, Apollo 13, Terminator 2 Judgment Day, Dead Man Walking:",Frankenstein Unbound,Jon Stewart Has Left the Building,Clear and Present Danger,Little Giants,2
"Dead Man Walking, Terminator 2 Judgment Day, The Fugitive, Braveheart:",The Shawshank Redemption,Private Benjamin,Star Wars Episode III - Revenge of the Sith,Session 9,0
"The Fugitive, Braveheart, The Shawshank Redemption, Terminator 2 Judgment Day:",Dead Man Walking,World's Greatest Dad,The Bad and the Beautiful,Hood of Horror,0
"Braveheart, Apollo 13, The Shawshank Redemption, Pulp Fiction:",A Boy and His Dog,Dances with Wolves,Dragonheart,Scary Movie 2,1
"Schindler's List, Braveheart, Pulp Fiction, Dances with Wolves:",Claire's Knee,28 Days,The Shawshank Redemption,To Have and Have Not,2
"Braveheart, Pretty Woman, Schindler's List, Apollo 13:",Bad Taste,My Big Fat Greek Wedding 2,The Santa Clause 2,Dances with Wolves,3
"Braveheart, Pretty Woman, Apollo 13, Dances with Wolves:",Batman Assault on Arkham,The Shawshank Redemption,Pokémon Heroes,The Flamingo Kid,1
"Apollo 13, The Shawshank Redemption, Dances with Wolves, Braveheart:",Monster House,Schindler's List,A Guy Thing,Peter Pan,1
"Apollo 13, Pulp Fiction, Pretty Woman, Braveheart:",In Good Company,A Summer's Tale,Phenomena,The Shawshank Redemption,3
"Dances with Wolves, Apollo 13, Schindler's List, The Shawshank Redemption:",Pulp Fiction,Rude Boy,American Psycho II All American Girl,Wadjda,0
"The Shawshank Redemption, Pulp Fiction, Dances with Wolves, Schindler's List:",The Way South,Er ist wieder da,Braveheart,Miss Nobody,2
"Dances with Wolves, Pulp Fiction, Braveheart, Apollo 13:",Schindler's List,Brief Encounter,A Perfect Plan,The Onion Movie,0
"Dances with Wolves, Braveheart, Schindler's List, Pulp Fiction:",The Son's Room,The Shawshank Redemption,Psycho,The Way South,1
"Braveheart, Pulp Fiction, Schindler's List, Dances with Wolves:",City Lights,The Shawshank Redemption,The Man with the Iron Fists,Picture Bride,1
"Terminator 2 Judgment Day, Aladdin, The Shawshank Redemption, The Lion King:",Iron Man & Hulk Heroes United,Schindler's List,Sherlock Jr,Lilya 4-Ever,1
"The Shawshank Redemption, Schindler's List, Aladdin, Terminator 2 Judgment Day:",Wolf Children,The Missing,Jackass 3D,The Lion King,3
"The Shawshank Redemption, Schindler's List, Terminator 2 Judgment Day, Aladdin:",Nina's Heavenly Delights,American Pie Presents The Book of Love,The Recruit,The Lion King,3
"Terminator 2 Judgment Day, Pulp Fiction, Aladdin, The Lion King:",Hawks and Sparrows,The Scent of Green Papaya,Schindler's List,Le Maître d'école,2
"The Usual Suspects, Schindler's List, Fargo, The Shawshank Redemption:",With a Friend Like Harry,Crash,The Stepford Wives,Pulp Fiction,3
"Fargo, Schindler's List, The Usual Suspects, Pulp Fiction:",The Shawshank Redemption,The Sandpiper,Material Girls,Life as We Know It,0
"The Usual Suspects, Dances with Wolves, The Shawshank Redemption, Toy Story:",Bad Boys II,Game 6,Schindler's List,Mutiny on the Bounty,2
"Apollo 13, The Shawshank Redemption, Braveheart, Dances with Wolves:",Beneath the Planet of the Apes,Tokyo Decadence,Batman,I Sell the Dead,2
"Schindler's List, The Shawshank Redemption, Dances with Wolves, Braveheart:",Killing Zoe,Apollo 13,The 40-Year-Old Virgin,The Navigator,1
"Apollo 13, Schindler's List, Batman, Terminator 2 Judgment Day:",The Shawshank Redemption,Pineapple Express,Neighbors,Paranormal Activity 4,0
"Dances with Wolves, Terminator 2 Judgment Day, The Shawshank Redemption, Braveheart:",The Hunting Party,Schindler's List,Baraka,Reality Bites,1
"Braveheart, Apollo 13, Schindler's List, Pulp Fiction:",Ruby Sparks,"The Last Klezmer Leopold Kozlowski, His Life and Music",Circus,Dances with Wolves,3
"Braveheart, Pulp Fiction, Schindler's List, The Usual Suspects:",Kazaam,Eichmann,Children of the Night,Apollo 13,3
"Schindler's List, Pulp Fiction, Braveheart, The Usual Suspects:",12 Angry Men,Mo' Better Blues,Mindhunters,The Shawshank Redemption,3
"Pulp Fiction, The Shawshank Redemption, Schindler's List, Dances with Wolves:",Easter Parade,Captain America The First Avenger,Braveheart,Manic,2
"The Shawshank Redemption, Pulp Fiction, Schindler's List, Braveheart:",The Bank Job,Robot Carnival,Dances with Wolves,The Family Stone,2
"Dances with Wolves, The Usual Suspects, Toy Story, Braveheart:",Ashby,Groove,The Dinner Game,Schindler's List,3
"The Lion King, Toy Story, The Fugitive, Aladdin:",Experimenter,Highway 61,Terminator 2 Judgment Day,Short Circuit 2,2
"The Lion King, Pulp Fiction, Terminator 2 Judgment Day, Aladdin:",Toy Story,Drowning Mona,Stage Beauty,Mrs Miniver,0
"The Shawshank Redemption, The Usual Suspects, Pulp Fiction, Fargo:",Damage,Pie in the Sky,The Fugitive,A Plasticine Crow,2
"The Lion King, Schindler's List, Braveheart, Dances with Wolves:",Serpico,The Shawshank Redemption,Cop Land,Song of the Thin Man,1
"Terminator 2 Judgment Day, Dead Man Walking, Braveheart, The Shawshank Redemption:",The Fugitive,Music and Lyrics,Deuce Bigalow Male Gigolo,Louis CK Oh My God,0
"The Lion King, Terminator 2 Judgment Day, Schindler's List, The Shawshank Redemption:",I'll Be Home For Christmas,Lilya 4-Ever,A Night in the Life of Jimmy Reardon,Aladdin,3
"Braveheart, Schindler's List, Terminator 2 Judgment Day, The Shawshank Redemption:",The Sacrament,Retroactive,Dances with Wolves,The Visitors,2
"Dances with Wolves, Aladdin, Braveheart, Dead Man Walking:",The Fugitive,Tristram Shandy A Cock and Bull Story,Barefoot in the Park,Dante's Inferno An Animated Epic,0
"Dances with Wolves, The Shawshank Redemption, Schindler's List, Pulp Fiction:",Braveheart,The Pretty One,Elsa & Fred,The Sound of Music,0
"Dances with Wolves, Pulp Fiction, Schindler's List, The Usual Suspects:",Braveheart,Boys on the Side,Bats,Suburban Commando,0
"The Fugitive, Braveheart, Schindler's List, The Lion King:",Mad City,The Scorpion King,The Shawshank Redemption,City of Men,2
"Dead Man Walking, Terminator 2 Judgment Day, Braveheart, The Shawshank Redemption:",The Family Man,The Burrowers,Judd Apatow The Return,The Fugitive,3
"Schindler's List, Dances with Wolves, Braveheart, The Shawshank Redemption:",Tie Xi Qu West of the Tracks,The Even Stevens Movie,Pulp Fiction,The Pink Panther 2,2
"Pulp Fiction, Dances with Wolves, Schindler's List, Braveheart:",Exte Hair Extensions,The Shawshank Redemption,Hot Lead and Cold Feet,The Man Who Shot Liberty Valance,1
"Pulp Fiction, The Shawshank Redemption, Aladdin, The Lion King:",Terminator 2 Judgment Day,The Next Three Days,Detachment,Ruby Sparks,0
"Pulp Fiction, The Usual Suspects, Schindler's List, Fargo:",Stoked The Rise and Fall of Gator,Surviving the Game,Look Who's Talking,The Shawshank Redemption,3
"Dances with Wolves, Toy Story, The Usual Suspects, Terminator 2 Judgment Day:",The Pelican Brief,Maps to the Stars,Schindler's List,Luxo Jr,2
"The Lion King, The Fugitive, Terminator 2 Judgment Day, Toy Story:",Black Mirror,Aladdin,Super Mario Bros,The Stunt Man,1
"Terminator 2 Judgment Day, Aladdin, Pulp Fiction, The Lion King:",Across the Hall,Fred Armisen Standup for Drummers,When the Levees Broke A Requiem in Four Acts,Toy Story,3
"The Usual Suspects, Fargo, The Shawshank Redemption, Pulp Fiction:",The Fugitive,The Man in the Moon,Friday the 13th Part IV The Final Chapter,Big Top Scooby-Doo!,0
"Terminator 2 Judgment Day, The Lion King, Batman, Aladdin:",Killing Me Softly,A King in New York,The Proposition,Pretty Woman,3
"The Mask, The Lion King, Pretty Woman, The Fugitive:",Saving Santa,Underworld,Batman,Bicentennial Man,2
"Interview with the Vampire The Vampire Chronicles, The Mask, The Lion King, Babe:","Big Mommas Like Father, Like Son",Sweet Smell of Success,In the Line of Fire,Faces of Death,2
"Batman, Terminator 2 Judgment Day, The Lion King, Aladdin:",De-Lovely,Wrong,Deepwater Horizon,The Mask,3
"The Mask, Batman, Pretty Woman, The Fugitive:",Babe,What We Do in the Shadows,Game of Death,Eastern Promises,0
"The Fugitive, Terminator 2 Judgment Day, Aladdin, Toy Story:",The Edge of Love,Untitled Spider-Man Reboot,The Lion King,Daddy Day Camp,2
"Toy Story, Terminator 2 Judgment Day, Aladdin, The Mask:",The Spiderwick Chronicles,Wag the Dog,Pretty Woman,The Lincoln Lawyer,2
"Aladdin, Snow White and the Seven Dwarfs, Babe, Pinocchio:",Valentine's Day,The Double,The Secret Garden,All Is Lost,2
"Batman, The Lion King, Pretty Woman, Terminator 2 Judgment Day:",Drag Me to Hell,The Old Man and the Sea,The Mask,'night Mother,2
"The Mask, Aladdin, The Lion King, Pretty Woman:",Batman,The Deadly Bees,Hot Girls Wanted,Mermaids,0
"Batman, The Mask, Pretty Woman, The Lion King:",Tape,Cry_Wolf,Pulp Fiction,Without a Paddle,2
"Aladdin, Toy Story, The Lion King, Pulp Fiction:",Being Elmo A Puppeteer's Journey,Far From Home The Adventures of Yellow Dog,Terminator 2 Judgment Day,RoboGeisha,2
"Toy Story, The Mask, Batman, The Lion King:",Exit Wounds,Punch-Drunk Love,Seeking Justice,Pretty Woman,3
"Interview with the Vampire The Vampire Chronicles, The Shawshank Redemption, Pulp Fiction, The Usual Suspects:",Caligula,Anger Management,The Fugitive,Mommy,2
"The Shawshank Redemption, Pulp Fiction, The Fugitive, Fargo:",Blitz,Only Lovers Left Alive,The Chase,The Usual Suspects,3
"True Lies, Apollo 13, Batman, The Silence of the Lambs:",Forrest Gump,Leviathan,Crossroads,Pat Garrett and Billy the Kid,0
"Apollo 13, Jurassic Park, Die Hard With a Vengeance, Forrest Gump:",Killer Movie,Stealth,The Last Man on Earth,True Lies,3
"Jurassic Park, Apollo 13, The Silence of the Lambs, Batman:",The Little Shop of Horrors,Prancer,Forrest Gump,Chuck & Buck,2
"Beauty and the Beast, Independence Day, Forrest Gump, Jurassic Park:",The Bag Man,The Silence of the Lambs,Extreme Measures,Kicking Off,1
"Aladdin, Die Hard With a Vengeance, Jurassic Park, Independence Day:",Roxanne,Things You Can Tell Just by Looking at Her,Batman,Celebrity,2
"Apollo 13, Jurassic Park, The Silence of the Lambs, Forrest Gump:",Somewhere,Batman,The Hot Chick,The Apartment,1
"The Silence of the Lambs, Forrest Gump, Die Hard With a Vengeance, Jurassic Park:",Shine,Banana Joe,Max Keeble's Big Move,Independence Day,3
"Apollo 13, The Silence of the Lambs, Jurassic Park, Batman:",Babes in Toyland,The Producers,Molly's Game,Independence Day,3
"The Usual Suspects, Seven Samurai, LA Confidential, Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb:",Apocalypse Now,The Accidental Spy,"Follow Me, Boys!",Nutty Professor II The Klumps,0
"Star Wars Episode V - The Empire Strikes Back, The Lord of the Rings The Fellowship of the Ring, American Beauty, Forrest Gump:",Upside Down The Creation Records Story,The Adventures of Sherlock Holmes and Doctor Watson,Waking Life,The Lord of the Rings The Two Towers,3
"The Lord of the Rings The Fellowship of the Ring, The Sixth Sense, Star Wars Episode IV - A New Hope, Star Wars Episode V - The Empire Strikes Back:",Fullmetal Alchemist 2018,The Human Condition III,Two if by Sea,Spirited Away,3
"The Sixth Sense, Forrest Gump, Star Wars Episode IV - A New Hope, Star Wars Episode V - The Empire Strikes Back:",The Lord of the Rings The Fellowship of the Ring,Catch 44,Laura,The Real Blonde,0
"Star Wars Episode IV - A New Hope, The Sixth Sense, Spirited Away, The Silence of the Lambs:",Harold & Kumar Escape from Guantanamo Bay,They Live,The Lord of the Rings The Fellowship of the Ring,Just Go with It,2
"Star Wars Episode V - The Empire Strikes Back, The Usual Suspects, Star Wars Episode IV - A New Hope, The Lord of the Rings The Return of the King:",LA Confidential,PS I Love You,Boyz N the Hood,Let It Ride,0
"American Beauty, The Sixth Sense, Star Wars Episode V - The Empire Strikes Back, Star Wars Episode IV - A New Hope:",Death to Smoochy,The Artist,LA Confidential,"New York, I Love You",2
"Spirited Away, Seven Samurai, LA Confidential, Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb:",The Usual Suspects,Return to the Blue Lagoon,Practical Magic,Scrooge,0
"The Sixth Sense, The Silence of the Lambs, The Lord of the Rings The Two Towers, Seven Samurai:",Star Wars Episode V - The Empire Strikes Back,Barney's Great Adventure,PowerRangers,It's Pat,0
"The Sixth Sense, Star Wars Episode V - The Empire Strikes Back, LA Confidential, Psycho:",The Fiendish Plot of Dr Fu Manchu,The Hurricane,Sex Drive,Star Wars Episode IV - A New Hope,3
"Back to the Future, The Lord of the Rings The Fellowship of the Ring, Star Wars Episode VI - Return of the Jedi, Forrest Gump:",The Silence of the Lambs,Making the Grade,The Boy and the Beast,Vicky Cristina Barcelona,0
"The Terminator, Toy Story, The Sixth Sense, Star Wars Episode VI - Return of the Jedi:",Indecent Proposal,Star Wars Episode V - The Empire Strikes Back,Gray's Anatomy,The Girl Next Door,1
"Star Wars Episode V - The Empire Strikes Back, Batman, Jurassic Park, Toy Story:",Ghostbusters II,The Internet's Own Boy The Story of Aaron Swartz,Only Old Men Are Going to Battle,Inhale,0
"Batman, Forrest Gump, Jurassic Park, The Usual Suspects:",Apollo 13,Battle Beyond the Stars,Great Balls of Fire!,The Atomic Submarine,0
"The Silence of the Lambs, Independence Day, Star Wars Episode VI - Return of the Jedi, Jurassic Park:",The Expendables,Blood Beach,Apollo 13,Stage Door,2
"Jurassic Park, Independence Day, The Silence of the Lambs, Forrest Gump:",Ted 2,Prom Night,Star Wars Episode VI - Return of the Jedi,The Wooden Horse,2
"Star Wars Episode IV - A New Hope, The Lord of the Rings The Fellowship of the Ring, The Sixth Sense, Star Wars Episode V - The Empire Strikes Back:",The Lord of the Rings The Two Towers,The Adventures of Sherlock Holmes and Doctor Watson King of Blackmailers,Quiz Show,The Fugitive,0
"Back to the Future, Spirited Away, The Sixth Sense, The Terminator:",The English Patient,The Expendables,Iron Eagle II,The Lord of the Rings The Two Towers,3
"Star Wars Episode V - The Empire Strikes Back, Back to the Future, The Terminator, The Lord of the Rings The Two Towers:",Mission Impossible III,Vanya on 42nd Street,Hostel,Forrest Gump,3
"Star Wars Episode VI - Return of the Jedi, The Sixth Sense, The Terminator, Star Wars Episode V - The Empire Strikes Back:",Maleficent,They,Back to the Future,Quest for Camelot,2
"Back to the Future, Star Wars Episode IV - A New Hope, Star Wars Episode VI - Return of the Jedi, Independence Day:",Be Cool,Just Visiting,Swept from the Sea,The Terminator,3
"American Beauty, Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb, The Lord of the Rings The Two Towers, Seven Samurai:",Latter Days,Dirty Dancing Havana Nights,The Silence of the Lambs,The Devil and Daniel Johnston,2
"The Sixth Sense, The Lord of the Rings The Two Towers, The Usual Suspects, Forrest Gump:",Nothing to Declare,Crossfire,End of Days,Star Wars Episode IV - A New Hope,3
"Back to the Future, The Terminator, The Lord of the Rings The Return of the King, Star Wars Episode VI - Return of the Jedi:",Jack Whitehall At Large,With Six You Get Eggroll,Man of Aran,The Silence of the Lambs,3
"Star Wars Episode V - The Empire Strikes Back, The Sixth Sense, Back to the Future, The Terminator:",Family Guy Presents It's a Trap,Charlie and the Chocolate Factory,Futurama Bender's Game,Toy Story,3
"Independence Day, Star Wars Episode VI - Return of the Jedi, Star Wars Episode IV - A New Hope, Jurassic Park:",Dead Man,Back to the Future,The Dish,Unfinished Business,1
"Star Wars Episode IV - A New Hope, The Terminator, Back to the Future, Toy Story:",Gosford Park,Star Wars Episode VI - Return of the Jedi,Scott Pilgrim vs the World,Young Doctors in Love,1
"Star Wars Episode VI - Return of the Jedi, Star Wars Episode V - The Empire Strikes Back, Forrest Gump, Toy Story:",Triumph of the Will,Anastasia,Smooth Talk,Independence Day,3
"Star Wars Episode VI - Return of the Jedi, Back to the Future, Toy Story, The Terminator:",Europa,'night Mother,Star Wars Episode IV - A New Hope,Of Human Bondage,2
"Star Wars Episode IV - A New Hope, Psycho, LA Confidential, Mission Impossible:",Anchorman 2 The Legend Continues,Corpse Bride,2001 A Space Odyssey,The Nine Lives of Tomas Katz,2
"Minority Report, Shrek, Catch Me If You Can, Aladdin:","Monsters, Inc",Children of the Night,The Incredible Shrinking Man,Town & Country,0
"Aladdin, The Lion King, Frequency, The Little Mermaid:","Unreasonable Man, An",Sleuth,Gladiator,Instinct,2
"Catch Me If You Can, Shrek, Monsters, Inc, The Lion King:",Aladdin,Enter the Void,Contraband,No Small Affair,0
"Star Wars Episode VII - The Force Awakens, Inside Out, Pulp Fiction, Raiders of the Lost Ark:",Ernest Rides Again,Forrest Gump,The Proposal,Everything You Always Wanted to Know About Sex  But Were Afraid to Ask,1
"Up, Star Wars Episode IV - A New Hope, The Matrix, Inception:",Mr Wonderful,Raiders of the Lost Ark,Dr Horrible's Sing-Along Blog,Buddy,1
"The Matrix, Star Wars Episode V - The Empire Strikes Back, Star Wars Episode IV - A New Hope, Forrest Gump:",Pulp Fiction,Da geht noch was!,Hudson Hawk,The Brothers Grimm,0
"Léon The Professional, The Matrix, Forrest Gump, Pulp Fiction:",Romper Stomper,Fame,Up,The Browning Version,2
"Raiders of the Lost Ark, The Matrix, Léon The Professional, Star Wars Episode V - The Empire Strikes Back:",The Meyerowitz Stories,Saw,Star Wars Episode IV - A New Hope,Josie and the Pussycats,2
"Up, Star Wars Episode IV - A New Hope, Léon The Professional, Forrest Gump:",RIPD,The People vs Larry Flynt,The Twilight Saga Breaking Dawn - Part 1,Raiders of the Lost Ark,3
"Forrest Gump, The Matrix, Raiders of the Lost Ark, Inception:",Thirteen,Agent Cody Banks 2 Destination London,Pulp Fiction,Master and Commander The Far Side of the World,2
"Raiders of the Lost Ark, The Matrix, Star Wars Episode IV - A New Hope, Inception:",Attack of the Killer Tomatoes!,Up,Ernest Rides Again,White Christmas,1
"Star Wars Episode V - The Empire Strikes Back, Independence Day, Terminator 2 Judgment Day, Star Wars Episode VI - Return of the Jedi:",High School,Pushing Tin,"What Happened, Miss Simone",Back to the Future,3
"Star Wars Episode V - The Empire Strikes Back, The Matrix, Star Wars Episode VI - Return of the Jedi, The Terminator:",Back to the Future,Buried,Bogus,Last Man Standing,0
"Star Wars Episode VI - Return of the Jedi, Independence Day, Star Wars Episode IV - A New Hope, Star Wars Episode V - The Empire Strikes Back:",The Major and the Minor,Love & Human Remains,Newsies,Inception,3
"Forrest Gump, The Matrix, Pulp Fiction, Inception:",Like Crazy,Win Win,Morvern Callar,Independence Day,3
"The Matrix, Star Wars Episode VI - Return of the Jedi, Aladdin, Star Wars Episode IV - A New Hope:",Thinner,The Terminator,Team America World Police,Hands Off the Loot,1
"Minority Report, The Lion King, Shrek, Monsters, Inc:",Bloodsucking Bastards,Aladdin,Okja,First Reformed,1
"Interstellar, Monsters, Inc, Back to the Future, Inception:",My Fellow Americans,Shadow of the Vampire,Star Wars Episode VII - The Force Awakens,Psycho II,2
"Pulp Fiction, Forrest Gump, Inside Out, Edge of Tomorrow:",1984,"Good Night, and Good Luck",Kiss of the Dragon,District 9,3
"The Matrix, Up, Star Wars Episode IV - A New Hope, Inception:",Raiders of the Lost Ark,And Your Mother Too,Frida,Heavy Metal 2000,0
"Star Wars Episode VI - Return of the Jedi, Raiders of the Lost Ark, The Lion King, Groundhog Day:",Bringing Down the House,The Circus,Star Wars Episode IV - A New Hope,Maximum Risk,2
"The Lion King, Monsters, Inc, Catch Me If You Can, Minority Report:",Shrek,The Natural,Strike!,Gentlemen Broncos,0
"Independence Day, District 9, Total Recall, Raiders of the Lost Ark:",The Little Vampire,Drag Me to Hell,Forrest Gump,The Tin Drum,2
"Raiders of the Lost Ark, Up, Inception, The Matrix:",Star Wars Episode IV - A New Hope,Rebel Without a Cause,It's a Very Merry Muppet Christmas Movie,DOA,0
"A Beautiful Mind, Finding Nemo, The Shawshank Redemption, Shrek:",Thor Ragnarok,Cape Fear,Houseboat,"Monsters, Inc",3
"Pulp Fiction, Alien, Requiem for a Dream, Léon The Professional:",Blood and Wine,Dying of the Light,Spirited Away,"Affair to Remember, An",2
"Spirited Away, The Godfather, Requiem for a Dream, Léon The Professional:",War of the Worlds,Pulp Fiction,City by the Sea,Total Recall,1
"Pulp Fiction, Léon The Professional, Kill Bill Vol 2, Requiem for a Dream:",Pushing Hands,Mortal Kombat The Journey Begins,Sin Nombre,The Godfather,3
"Saving Private Ryan, Inception, Raiders of the Lost Ark, The Matrix:",The Emperor and the Assassin,Gladiator,Tin Cup,Alex and Emma,1
"Raiders of the Lost Ark, The Shawshank Redemption, Inception, Pulp Fiction:",Beyond the Poseidon Adventure,The Chorus,Forrest Gump,Scouts Guide to the Zombie Apocalypse,2
"The Matrix, The Shawshank Redemption, Pulp Fiction, Inception:",Zeus and Roxanne,Bella,Forrest Gump,The Devil Wears Prada,2
"The Matrix, Inception, Pulp Fiction, Forrest Gump:",Raiders of the Lost Ark,Changing Lanes,The Ewok Adventure,High Noon,0
"Pulp Fiction, Raiders of the Lost Ark, The Matrix, Inception:",Hector and the Search for Happiness,The Quiet American,The Shawshank Redemption,Falling Down,2
"Saving Private Ryan, Raiders of the Lost Ark, The Shawshank Redemption, The Matrix:",Swing Kids,UHF,Pulp Fiction,The BFG,2
"Inception, Pulp Fiction, Forrest Gump, Raiders of the Lost Ark:",Who's Afraid of Virginia Woolf,Fantastic Mr Fox,Clash of the Titans,Independence Day,3
"Raiders of the Lost Ark, The Matrix, Pulp Fiction, Saving Private Ryan:",Independence Day,Chairman of the Board,Killer Elite,In a Lonely Place,0
"The Fifth Element, Gladiator, Gattaca, The Matrix:",Birdman of Alcatraz,Raiders of the Lost Ark,Le Samouraï,Imagine That,1
"Inception, Inside Out, Edge of Tomorrow, Star Wars Episode VII - The Force Awakens:",Pulp Fiction,Dutch,Murder in the First,"Mystery, Alaska",0
"The Green Mile, The Matrix, Saving Private Ryan, Gladiator:",49 Up,Gattaca,Alex and Emma,The Terrorist,1
"Gladiator, Raiders of the Lost Ark, Inception, Saving Private Ryan:",Anna and the King,"Paris, Texas",The Matrix,The Parent Trap,2
"Raiders of the Lost Ark, The Matrix, Gattaca, Gladiator:",Swimming Pool,Maggie's Plan,The Fifth Element,For the Boys,2
"Minority Report, Total Recall, Inside Out, Forrest Gump:",Phenomena,Lilting,Catwoman,Edge of Tomorrow,3
"Saving Private Ryan, Raiders of the Lost Ark, The Matrix, Inception:",Gladiator,The Wraith,I'm Gonna Git You Sucka,The Lost Room,0
