question,answer_0,answer_1,answer_2,answer_3,label
"Raiders of the Lost Ark, Schindler's List, Inception, The Lord of the Rings The Two Towers:",The Black Stallion Returns,The Brothers Grimm,WALL·E,"The Toxic Avenger, Part II",2
"Schindler's List, The Lord of the Rings The Two Towers, Star Wars Episode IV - A New Hope, The Matrix:",Raiders of the Lost Ark,Diabolique,Mischief,Suicide Club,0
"Star Wars Episode IV - A New Hope, Inception, Up, Raiders of the Lost Ark:",Giant,The Matrix,The Love Bug,I'll Be Home For Christmas,1
"Schindler's List, The Matrix, Inception, Up:",The Royal Tenenbaums,Anchorman 2 The Legend Continues,Boogie Nights,WALL·E,3
"The Lord of the Rings The Two Towers, The Lord of the Rings The Fellowship of the Ring, Star Wars Episode IV - A New Hope, The Matrix:",The Return,The Hidden Fortress,Schindler's List,The End of the Affair,2
"The Lord of the Rings The Two Towers, Raiders of the Lost Ark, The Lord of the Rings The Fellowship of the Ring, Inception:",Ladybugs,American Ultra,Saving Private Ryan,Siam Sunset,2
"Raiders of the Lost Ark, Star Wars Episode IV - A New Hope, Up, Inception:",Born in East LA,Titanica,Kissing Jessica Stein,The Matrix,3
"Gladiator, Saving Private Ryan, The Matrix, Inception:",Bad Boy Bubby,Raiders of the Lost Ark,Whatever Works,Porco Rosso,1
"Saving Private Ryan, Raiders of the Lost Ark, Inception, The Matrix:",Lady Bird,Fitzcarraldo,The Lord of the Rings The Two Towers,Ichi the Killer,2
"Star Wars Episode IV - A New Hope, Raiders of the Lost Ark, The Matrix, Inception:",Sabrina,Child's Play,Fun,Up,3
"Inception, Gladiator, The Matrix, Saving Private Ryan:",Robots,King of Comedy,Raiders of the Lost Ark,Won't You Be My Neighbor,2
"American History X, Requiem for a Dream, Raiders of the Lost Ark, The Sixth Sense:",Miss Meadows,Little Man,Goodfellas,You Can't Take It with You,2
"Seven, Star Wars Episode IV - A New Hope, Star Wars Episode V - The Empire Strikes Back, American Beauty:",Wadjda,Gray's Anatomy,Rear Window,The Shaggy DA,2
"Star Wars Episode V - The Empire Strikes Back, Star Wars Episode IV - A New Hope, The Dark Knight, Pulp Fiction:",PowerRangers,The Blair Witch Project,Breathless,Forrest Gump,3
"One Flew Over the Cuckoo's Nest, The Dark Knight, Forrest Gump, Memento:",Crime Busters,To End All Wars,The Shawshank Redemption,The Night of the Iguana,2
"Seven Samurai, Blade Runner, Rear Window, Goodfellas:",One Flew Over the Cuckoo's Nest,49 Up,Stitch! The Movie,To Catch a Thief,0
"Pulp Fiction, The Silence of the Lambs, Forrest Gump, Laputa Castle in the Sky:",Bone Tomahawk,The Brice Man,The Village,The Shawshank Redemption,3
"Inception, The Lord of the Rings The Return of the King, The Matrix, Raiders of the Lost Ark:",The Dark Knight,A Bucket Of Blood,Transformers Dark of the Moon,The Minus Man,0
"Requiem for a Dream, Goodfellas, Schindler's List, The Lord of the Rings The Return of the King:",The Twelve Tasks of Asterix,The Woods,Dead Again,Seven Samurai,3
"One Flew Over the Cuckoo's Nest, Star Wars Episode V - The Empire Strikes Back, Léon The Professional, Reservoir Dogs:",Thumbelina,Hereafter,The Thinning,Raiders of the Lost Ark,3
"Inception, Forrest Gump, Star Wars Episode IV - A New Hope, Toy Story 3:",Resident Evil Retribution,Star Wars Episode V - The Empire Strikes Back,Godzilla,Elysium,1
"Blade Runner, The Shawshank Redemption, Forrest Gump, Fight Club:",Seven Sisters,The Dark Knight,Mr Deeds Goes to Town,Pacific Rim,1
"One Flew Over the Cuckoo's Nest, Goodfellas, Rear Window, The Professional:",A Night to Remember,The Swan Princess,Kinsey,Léon The Professional,3
"The Princess Bride, The Shawshank Redemption, Raiders of the Lost Ark, The Matrix:",Black Mirror,"Power of Nightmares, The The Rise of the Politics of Fear",Pulp Fiction,Hope Springs,2
"Schindler's List, The Lord of the Rings The Two Towers, Inception, The Dark Knight:",Couples Retreat,Those Magnificent Men in Their Flying Machines,Star Wars Episode IV - A New Hope,Friday After Next,2
"Fight Club, Raiders of the Lost Ark, Blade Runner, Reservoir Dogs:",Madagascar 3 Europe's Most Wanted,Transamerica,The Sixth Sense,Moon,2
"Raiders of the Lost Ark, Star Wars Episode IV - A New Hope, Toy Story 3, Léon The Professional:",Stand Up Guys,Rosemary's Baby,Blade Runner,Before Midnight,2
"Forrest Gump, The Dark Knight, The Shawshank Redemption, Fight Club:",Bangkok Dangerous,Clown,Yogi Bear,Blade Runner,3
"Pulp Fiction, Full Metal Jacket, Goodfellas, Chinatown:",Snow White and the Huntsman,Caddyshack II,Seven Samurai,Charlie and the Chocolate Factory,2
"Pulp Fiction, The Dark Knight, The Silence of the Lambs, Forrest Gump:",The Da Vinci Code,Inception,Identity Thief,War for the Planet of the Apes,1
"Star Wars Episode IV - A New Hope, Schindler's List, Inception, The Matrix:",The Expendables 3,Twin Dragons,Breaking the Waves,The Lord of the Rings The Return of the King,3
"Blade Runner, Star Wars Episode V - The Empire Strikes Back, Léon The Professional, Star Wars Episode IV - A New Hope:",Raiders of the Lost Ark,Rent-A-Cop,Nothing to Lose,Cargo,0
"Blade Runner, Reservoir Dogs, Léon The Professional, Rear Window:",Pickup on South Street,One Flew Over the Cuckoo's Nest,Home,Trumbo,1
"Raiders of the Lost Ark, The Matrix, Pulp Fiction, Forrest Gump:",Trail of the Pink Panther,Inception,Firestarter,Joe's Apartment,1
"Raiders of the Lost Ark, The Dark Knight, Star Wars Episode IV - A New Hope, The Matrix:",Inception,Fandango,Ocean's Eleven,The Glimmer Man,0
"The Sixth Sense, One Flew Over the Cuckoo's Nest, Wallace & Gromit A Close Shave, The Maltese Falcon:",Feast,In the Loop,Return with Honor,Reservoir Dogs,3
"The Usual Suspects, Terminator 2 Judgment Day, Pulp Fiction, The Fugitive:",Friends & Lovers,Twelve Monkeys,Saw,Robot Jox,1
"The Shawshank Redemption, Braveheart, Pulp Fiction, Get Shorty:",The Fugitive,Ghostbusters,Malice,Police Academy 2 Their First Assignment,0
"The Shawshank Redemption, Pulp Fiction, The Fugitive, Braveheart:",Get Shorty,Prey for Rock & Roll,Duma,I Kill Giants,0
"Pulp Fiction, Braveheart, The Shawshank Redemption, Crimson Tide:",Goon Last of the Enforcers,A Very Harold & Kumar 3D Christmas,The Fugitive,A Separation,2
"Braveheart, Pulp Fiction, Saving Private Ryan, Gattaca:",Brave,Dredd,When Worlds Collide,Go,3
"Braveheart, The Usual Suspects, The Shawshank Redemption, The Fugitive:",Boy,Swiss Family Robinson,And Then There Were None,Crimson Tide,3
"The Shawshank Redemption, Saving Private Ryan, Braveheart, The Matrix:",Dracula 2000,1492 Conquest of Paradise,Schindler's List,Auto Focus,2
"The Shawshank Redemption, Forrest Gump, The Matrix, Good Will Hunting:",Star Wars Episode VI - Return of the Jedi,Cake,What's Your Number,Made in Dagenham,0
"Pulp Fiction, The Fugitive, Get Shorty, The Usual Suspects:",The Sea Inside,Laggies,Little Women,The Shawshank Redemption,3
"Pulp Fiction, Forrest Gump, Terminator 2 Judgment Day, Braveheart:",Ruby & Quentin,Insidious Chapter 3,Fast Times at Ridgemont High,The Fugitive,3
"The Fugitive, Forrest Gump, Pulp Fiction, The Shawshank Redemption:",Comandante,Neighbors,Breathless,Crimson Tide,3
"Twelve Monkeys, Terminator 2 Judgment Day, Pulp Fiction, The Usual Suspects:",PowerRangers,Dark Portals The Chronicles of Vidocq,Labyrinth,Braveheart,3
"The Usual Suspects, Braveheart, The Shawshank Redemption, Crimson Tide:",My Bloody Valentine 3-D,Fur An Imaginary Portrait of Diane Arbus,The Fugitive,That's Entertainment,2
"The Shawshank Redemption, The Matrix, Fight Club, Star Wars Episode I - The Phantom Menace:",THX 1138,Iron Eagle II,Chocolat,Forrest Gump,3
"Spider-Man, The Sixth Sense, Fight Club, Independence Day:",Once Bitten,Ruby Sparks,The Matrix,Terminal Velocity,2
"Spider-Man 2, The Fifth Element, X-Men, Spider-Man:",The White Sun of the Desert,The Happening,Independence Day,Destry Rides Again,2
"Kill Bill Vol 2, Kill Bill Vol 1, Forrest Gump, Memento:",Rising Sun,Rumble in the Bronx,Domino,The Shawshank Redemption,3
"The Shawshank Redemption, Fight Club, The Matrix, Kill Bill Vol 1:",Kill Bill Vol 2,Leprechaun 3,Kenny & Company,Playing God,0
"The Sixth Sense, The Matrix, Forrest Gump, The Shawshank Redemption:",Street Fighter II The Animated Movie,The Sheltering Sky,The Boy Who Could Fly,Terminator 2 Judgment Day,3
"Forrest Gump, The Shawshank Redemption, The Matrix, Star Wars Episode I - The Phantom Menace:",Fight Club,I Shot Jesse James,Out Cold,Blackrock,0
"Star Wars Episode I - The Phantom Menace, The Sixth Sense, Independence Day, Fight Club:",Terminator 2 Judgment Day,A Field in England,Green Street Hooligans,Guardians of the Galaxy 2,0
"Spider-Man 2, X-Men, The Fifth Element, Spider-Man:",Independence Day,The Bow,A Perfect Plan,Miami Vice,0
"Fight Club, The Shawshank Redemption, Kill Bill Vol 1, Kill Bill Vol 2:",Sorority House Massacre,Evolution,Memento,Scooby-Doo Goes Hollywood,2
"The Shawshank Redemption, Kill Bill Vol 2, Forrest Gump, Fight Club:",Emma,Tyrannosaur,Kill Bill Vol 1,How to Steal a Million,2
"Spider-Man, Spider-Man 2, The Matrix, Independence Day:",Jurassic World Fallen Kingdom,The Fifth Element,Across the Universe,Insomnia,1
"The Shawshank Redemption, Forrest Gump, Kill Bill Vol 2, Kill Bill Vol 1:",Wrong Turn 2 Dead End,Fight Club,My Mother's Castle,The Madagascar Penguins in a Christmas Caper,1
"Get Shorty, Mr Holland's Opus, Stargate, Dances with Wolves:",The Prime Gig,9 12 Weeks,The Usual Suspects,It Happened One Night,2
"Dances with Wolves, Mr Holland's Opus, Stargate, Get Shorty:",Ride with the Devil,It Runs in the Family,The Usual Suspects,Anomalisa,2
"The Shawshank Redemption, The Fugitive, Forrest Gump, Pulp Fiction:",I Know Who Killed Me,Oceans,Dances with Wolves,It Can't Be!,2
"Dances with Wolves, Stargate, Pulp Fiction, The Shawshank Redemption:",The Towering Inferno,The Collector,Diabolique,The Fugitive,3
"Dances with Wolves, Clear and Present Danger, Forrest Gump, The Fugitive:",Flight,Living in Oblivion,The Shawshank Redemption,The Mask of Zorro,2
"Pulp Fiction, The Shawshank Redemption, Dances with Wolves, Stargate:",The Fugitive,The Boss of It All,Barb Wire,Basic Instinct 2,0
"Stargate, The Fugitive, Pulp Fiction, Dances with Wolves:",Forrest Gump,Kevin Smith Too Fat For 40,Scorched,Stand and Deliver,0
"Dances with Wolves, The Shawshank Redemption, The Fugitive, Stargate:",Air Force One,Clear and Present Danger,Bone Tomahawk,Mambo Italiano,1
"The Fugitive, The Shawshank Redemption, Forrest Gump, Dances with Wolves:",Pulp Fiction,The Three Musketeers,The DUFF,My Lucky Stars,0
"The Fugitive, Pulp Fiction, Dances with Wolves, Forrest Gump:",Mudbound,The Shawshank Redemption,Grumpy Old Men,Strictly Ballroom,1
"Stargate, The Shawshank Redemption, Dances with Wolves, The Fugitive:","Angel at My Table, An",Beauty of the Day,Pulp Fiction,The Omega Man,2
"Pulp Fiction, The Fugitive, The Shawshank Redemption, Dances with Wolves:",Babylon 5 A Call to Arms,Letters from Iwo Jima,Forrest Gump,Saint Ralph,2
"Forrest Gump, Pulp Fiction, The Fugitive, Dances with Wolves:",Dragonheart 3 The Sorcerer's Curse,Chi-Raq,Stargate,Tae Guk Gi The Brotherhood of War,2
"Pulp Fiction, Stargate, The Fugitive, Dances with Wolves:",The Negotiator,Forrest Gump,A Dangerous Method,Spider-Man,1
"Stargate, The Shawshank Redemption, Dances with Wolves, The Fugitive:",Enter the Dragon,"Silent Night, Deadly Night",Clear and Present Danger,Mrs Doubtfire,2
"Forrest Gump, The Shawshank Redemption, Pulp Fiction, Dances with Wolves:",Women in Trouble,The Fugitive,Night at the Museum Secret of the Tomb,While You Were Sleeping,1
"The Shawshank Redemption, Forrest Gump, Dances with Wolves, The Fugitive:",Pulp Fiction,The Girl on the Bridge,Radioland Murders,Father of the Bride,0
"Pulp Fiction, Dances with Wolves, The Fugitive, The Shawshank Redemption:",Baby Secret of the Lost Legend,The Care Bears Movie,The Fiendish Plot of Dr Fu Manchu,Forrest Gump,3
"Forrest Gump, The Fugitive, The Shawshank Redemption, Dances with Wolves:",Voices from the List,Planet 51,Pulp Fiction,Final Fantasy VII Advent Children,2
"Pulp Fiction, Stargate, The Fugitive, The Shawshank Redemption:",The Astronaut Farmer,It's Pat,One-Eyed Jacks,Dances with Wolves,3
"Pulp Fiction, Clear and Present Danger, The Shawshank Redemption, The Fugitive:",Dances with Wolves,My Sister's Keeper,Rocky II,Rat Race,0
"Dances with Wolves, The Fugitive, The Shawshank Redemption, Forrest Gump:",Pulp Fiction,Gallipoli,Money Monster,Robin Hood Men in Tights,0
"Dances with Wolves, Pulp Fiction, Forrest Gump, Stargate:",Designing Woman,The Fugitive,The Forgotten,A Man Vanishes,1
"Dances with Wolves, Clear and Present Danger, The Fugitive, Stargate:",Creep,The Shawshank Redemption,The Messengers,The Best Man,1
"Forrest Gump, The Fugitive, The Shawshank Redemption, Pulp Fiction:",Anchors Aweigh,Looney Tunes Back in Action,Porky's Revenge,Dances with Wolves,3
"Mr Holland's Opus, What's Eating Gilbert Grape, Braveheart, Don Juan DeMarco:",Kevin Hart I'm a Grown Little Man,IQ,Pulp Fiction,Penguins of Madagascar,2
"The Fugitive, Schindler's List, Braveheart, Get Shorty:",Kicking & Screaming,I Bought a Vampire Motorcycle,Crimson Tide,Soul Plane,2
"The Shawshank Redemption, Forrest Gump, Pulp Fiction, Braveheart:",A Woman Under the Influence,"It's the Great Pumpkin, Charlie Brown",The House,Dances with Wolves,3
"Pulp Fiction, Forrest Gump, Dances with Wolves, The Usual Suspects:",The Lawnmower Man,Virus,Jaws The Revenge,Get Shorty,3
"Dances with Wolves, Crimson Tide, Braveheart, The Fugitive:",Rachel Getting Married,Howard the Duck,The Shawshank Redemption,The Post,2
"Mr Holland's Opus, Dances with Wolves, Forrest Gump, Philadelphia:",The Shawshank Redemption,Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,The Double,Neon Bull,0
"Pulp Fiction, Forrest Gump, The Fugitive, The Usual Suspects:",Wisdom,Lost and Delirious,People I Know,Braveheart,3
"Get Shorty, The Shawshank Redemption, What's Eating Gilbert Grape, Pulp Fiction:",Hulk Vs,Lost in La Mancha,Schindler's List,Recount,2
"Mr Holland's Opus, Schindler's List, The Shawshank Redemption, Don Juan DeMarco:",Get Shorty,Death Wish 3,A Trip to the Moon,Hype!,0
"The Shawshank Redemption, Don Juan DeMarco, Mr Holland's Opus, Get Shorty:",Howards End,Long Night's Journey Into Day,Boccaccio '70,What's Eating Gilbert Grape,3
"The Usual Suspects, The Shawshank Redemption, Get Shorty, Pulp Fiction:",Schindler's List,The Handmaiden,"Davy Crockett, King of the Wild Frontier",Jet Li's Fearless,0
"Forrest Gump, Pulp Fiction, The Usual Suspects, Schindler's List:",Bliss,Date with an Angel,Velvet Goldmine,The Shawshank Redemption,3
"Get Shorty, What's Eating Gilbert Grape, The Fugitive, The Shawshank Redemption:",Unstrung Heroes,Vampire in Brooklyn,Braveheart,Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2
"Schindler's List, The Shawshank Redemption, Pulp Fiction, Get Shorty:",The Usual Suspects,It Can't Be!,A Man and a Woman,Scouts Guide to the Zombie Apocalypse,0
"Forrest Gump, The Fugitive, The Shawshank Redemption, Pulp Fiction:",Indestructible Man,Oxygen,Crimson Tide,Ace in the Hole,2
"Get Shorty, The Fugitive, Pulp Fiction, The Usual Suspects:",Tomcats,The Librarian Quest for the Spear,Spacehunter Adventures in the Forbidden Zone,Forrest Gump,3
"Braveheart, The Fugitive, The Shawshank Redemption, The Usual Suspects:",Pale Rider,Runaway Brain,Crimson Tide,Super Mario Bros,2
"Get Shorty, The Shawshank Redemption, Braveheart, Pulp Fiction:",Jonestown The Life and Death of Peoples Temple,Hostage,Crimson Tide,The Birth of a Nation,2
"Pulp Fiction, The Fugitive, The Shawshank Redemption, Dances with Wolves:",All Over the Guy,Forrest Gump,Elizabethtown,The Bride of Frankenstein,1
"Dances with Wolves, The Shawshank Redemption, The Fugitive, Pulp Fiction:",The City of Women,Avengers Infinity War - Part I,Forrest Gump,The Man Who Knew Too Much,2
"The Fugitive, Forrest Gump, Dances with Wolves, Pulp Fiction:",Rush,Happy Go Lovely,The Shawshank Redemption,Vampires,2
"The Fugitive, Dances with Wolves, Forrest Gump, The Shawshank Redemption:",A Special Day,David Cross Making America Great Again,Happy Go Lovely,Pulp Fiction,3
"The Shawshank Redemption, Pulp Fiction, Don Juan DeMarco, Dances with Wolves:",Broken Flowers,Mr Holland's Opus,Jackass 35,Dark City,1
"Braveheart, The Usual Suspects, Crimson Tide, The Fugitive:",Get Shorty,The Firm,Pillow Talk,Hairspray,0
"Crimson Tide, The Shawshank Redemption, Pulp Fiction, Forrest Gump:",Phineas and Ferb the Movie Across the 2nd Dimension,Dances with Wolves,The Survivalist,Death of a Salesman,1
"Forrest Gump, Braveheart, The Usual Suspects, The Fugitive:",Get Shorty,Billy Jack,A Field in England,Tank Girl,0
"Braveheart, Dances with Wolves, The Shawshank Redemption, The Usual Suspects:",3000 Miles to Graceland,Crimson Tide,Best Men,A Very Harold & Kumar 3D Christmas,1
"The Shawshank Redemption, Forrest Gump, Dances with Wolves, Mr Holland's Opus:",PK,The Great Gatsby,Philadelphia,Casper Meets Wendy,2
"Crimson Tide, Braveheart, The Usual Suspects, Forrest Gump:",Dances with Wolves,Withnail & I,The True Memoirs of an International Assassin,Bicycle Thieves,0
"The Fugitive, Get Shorty, Braveheart, The Shawshank Redemption:",Snow White and the Seven Dwarfs,Dances with Wolves,The Rookie,The Vow,1
"Dances with Wolves, The Shawshank Redemption, Braveheart, The Fugitive:",The Village,Beverly Hills Cop III,Bring Me the Head of Alfredo Garcia,Pulp Fiction,3
"Braveheart, The Fugitive, Get Shorty, Mr Holland's Opus:",Dances with Wolves,Candyman Farewell to the Flesh,Down Argentine Way,Revenge of the Green Dragons,0
"Dances with Wolves, Get Shorty, The Fugitive, Braveheart:",Barbershop 2 Back in Business,Cool Runnings,To Be or Not to Be,The Shawshank Redemption,3
"The Fugitive, Crimson Tide, Braveheart, The Shawshank Redemption:",Pulp Fiction,Autumn Marathon,I'm Not There,The Limey,0
"Pulp Fiction, Braveheart, The Fugitive, Get Shorty:",I Do How to Get Married and Stay Single,Forrest Gump,The Crossing Guard,Jimmy Carr Making People Laugh,1
"Braveheart, The Fugitive, The Shawshank Redemption, The Usual Suspects:",Down to the Bone,Dances with Wolves,Starship Troopers,Return to Paradise,1
"The Shawshank Redemption, Pulp Fiction, Crimson Tide, Forrest Gump:",Braveheart,Ripley's Game,Spanglish,Meet the Feebles,0
"Pulp Fiction, Forrest Gump, The Fugitive, Braveheart:",Little Women,Dances with Wolves,Bring It On All or Nothing,Dead Alive,1
"The Fugitive, Braveheart, Crimson Tide, Dances with Wolves:",Timeline,Jet Li's Fearless,The Shawshank Redemption,Escape From Tomorrow,2
"Braveheart, Dances with Wolves, Crimson Tide, The Shawshank Redemption:","Misérables, Les",The Fugitive,The Emperor's Club,Cooties,1
"Dances with Wolves, The Usual Suspects, Forrest Gump, Pulp Fiction:",A Hard Day's Night,The Fugitive,Slow West,Free to Play,1
"Crimson Tide, The Fugitive, The Usual Suspects, Dances with Wolves:",Bandidas,Braveheart,Too Many Cooks,Bad Santa,1
"Seven, The Usual Suspects, Pulp Fiction, American Beauty:",Hilary and Jackie,The Visit,Margin Call,Fargo,3
"Reservoir Dogs, The Usual Suspects, Goodfellas, The Matrix:",Star Wars Episode V - The Empire Strikes Back,Cradle 2 the Grave,Irreversible,Stigmata,0
"American Beauty, Pi, X-Men, The Godfather:",Police Academy Mission to Moscow,The Matrix,Carnival of Souls,SupermanDoomsday,1
"Fargo, Monty Python and the Holy Grail, Pulp Fiction, Twelve Monkeys:",High Heels and Low Lifes,Extraordinary Tales,Pi,Rubber,2
"Army of Darkness, Go, The Sixth Sense, Alien:",Cool Hand Luke,Children of the Corn III,Ice Guardians,Cinema Paradiso,0
"The Usual Suspects, The Fugitive, Pulp Fiction, Terminator 2 Judgment Day:",Keep the River on Your Right A Modern Cannibal Tale,Grumpier Old Men,Twelve Monkeys,The Chumscrubber,2
"The Godfather, The Usual Suspects, Goodfellas, Monty Python and the Holy Grail:","Honest Liar, An",40 Days and 40 Nights,Pulp Fiction,Patlabor The Movie,2
"The Usual Suspects, Pulp Fiction, Goodfellas, The Godfather:",Big Daddy,Mogambo,Kiss Kiss Bang Bang,Monty Python and the Holy Grail,3
"Star Wars Episode V - The Empire Strikes Back, Star Wars Episode IV - A New Hope, Star Wars Episode VI - Return of the Jedi, The Matrix:",Baby's Day Out,Les Misérables,Terminator 2 Judgment Day,Dudley Do-Right,2
"The Matrix, Star Wars Episode V - The Empire Strikes Back, Star Wars Episode VI - Return of the Jedi, Star Wars Episode IV - A New Hope:",The Crossing Guard,The Maiden Heist,Terminator 2 Judgment Day,The Magic Ring,2
"Star Wars Episode IV - A New Hope, The Usual Suspects, Star Wars Episode V - The Empire Strikes Back, Pulp Fiction:",Fargo,Conan the Barbarian,Wisdom,The Crew,0
"The Usual Suspects, Star Wars Episode V - The Empire Strikes Back, Pulp Fiction, Star Wars Episode IV - A New Hope:",Twelve Monkeys,She's Out of My League,The Lost Room,High Crimes,0
"Go, Twelve Monkeys, Pulp Fiction, The Sixth Sense:",Predators,Terminator 2 Judgment Day,Two Much,Premium Rush,1
"The Usual Suspects, Go, Pulp Fiction, Star Wars Episode VI - Return of the Jedi:",The Sign of Four,The Hunt for Red October,Auto Focus,Marauders,1
"The Hunt for Red October, The Usual Suspects, The Sixth Sense, The Fugitive:",The Opposite Sex,Mr Holmes,Pulp Fiction,The Letter,2
"The Fugitive, Pulp Fiction, The Usual Suspects, Twelve Monkeys:",Why Don't You Play In Hell,Terminator 2 Judgment Day,MacGruber,The Masque of the Red Death,1
"Fargo, Pulp Fiction, American Beauty, Seven:",The Usual Suspects,Lady Vengeance,K-19 The Widowmaker,That Demon Within,0
"The Matrix, Seven, The Usual Suspects, Reservoir Dogs:",The Godfather Part II,The Sting,Trash Humpers,The Seventh Sign,0
"The Usual Suspects, The Matrix, The Godfather, Pi:",Little Miss Marker,Pulp Fiction,What Love Is,The Spy Next Door,1
"Pulp Fiction, Fargo, Twelve Monkeys, Monty Python and the Holy Grail:",Cloud Atlas,Friday Night Lights,The Godfather,Pride and Prejudice,2
"The Sixth Sense, Star Wars Episode V - The Empire Strikes Back, Cool Hand Luke, The Godfather:",The Testament of Dr Mabuse,Under Siege 2 Dark Territory,Star Wars Episode IV - A New Hope,The Tenant,2
"The Fugitive, Pulp Fiction, The Usual Suspects, Terminator 2 Judgment Day:",The Amazing Panda Adventure,Sweeney Todd,Welcome to Sarajevo,Seven,3
"Go, Star Wars Episode IV - A New Hope, The Godfather Part II, The Godfather:",Pulp Fiction,The Hungover Games,A Family Thing,Casino,0
"The Godfather, Twelve Monkeys, Pi, Monty Python and the Holy Grail:",Pulp Fiction,The Machinist,Yes Man,Perfect Sense,0
"Star Wars Episode IV - A New Hope, Go, The Sixth Sense, Terminator 2 Judgment Day:",Star Wars Episode V - The Empire Strikes Back,The Zero Theorem,Stranger than Fiction,The New One-Armed Swordsman,0
"Pulp Fiction, The Usual Suspects, Twelve Monkeys, Terminator 2 Judgment Day:",The Fugitive,Lightning Jack,SFW,Ghost in the Shell Arise - Border 1 Ghost Pain,0
"Braveheart, The Fugitive, Tombstone, Get Shorty:",Thoroughly Modern Millie,Cocktail,Hands Off the Loot,The Shawshank Redemption,3
"Dances with Wolves, The Shawshank Redemption, Stargate, Tombstone:",The Fugitive,Frankenstein Unbound,Easter Parade,One Crazy Summer,0
"Mr Holland's Opus, The Fugitive, Dances with Wolves, Stargate:",Braveheart,Reckless,Nobody Knows,2010 The Year We Make Contact,0
"Stargate, Braveheart, The Shawshank Redemption, Dances with Wolves:",Hot Tub Time Machine 2,Morvern Callar,The Bourne Identity,The Fugitive,3
"Dances with Wolves, The Fugitive, The Shawshank Redemption, Braveheart:",Hostage,Behind Enemy Lines,Get Shorty,Alice,2
"Don Juan DeMarco, Mr Holland's Opus, What's Eating Gilbert Grape, Pulp Fiction:",Get Shorty,Kolya,Death Wish 2,Gold Diggers of 1933,0
"The Shawshank Redemption, Get Shorty, Tombstone, Pulp Fiction:",A Bad Moms Christmas,Mr Holland's Opus,The Presidio,Dragon Ball Z The History of Trunks,1
"Braveheart, The Fugitive, Pulp Fiction, Get Shorty:",Deliver Us from Evil,The Closer You Get,Jackass The Movie,What's Eating Gilbert Grape,3
"Get Shorty, The Fugitive, What's Eating Gilbert Grape, Pulp Fiction:",Braveheart,The House of Yes,The Boys of St Vincent,Camille,0
"Braveheart, Get Shorty, The Shawshank Redemption, Pulp Fiction:",The Fugitive,Ready to Rumble,Thoroughly Modern Millie,Ninja Shadow of a Tear,0
"Get Shorty, The Shawshank Redemption, The Fugitive, Pulp Fiction:",Battle Royale 2 Requiem,The Lodger A Story of the London Fog,Braveheart,Paterson,2
"The Shawshank Redemption, Pulp Fiction, The Fugitive, Stargate:",Guinevere,White Frog,Dances with Wolves,Benny & Joon,2
"Dances with Wolves, Stargate, The Fugitive, The Shawshank Redemption:",Angels with Dirty Faces,Invincible,Pulp Fiction,The Old Man and the Sea,2
"Get Shorty, The Shawshank Redemption, The Fugitive, Mr Holland's Opus:",Joe Dirt 2 Beautiful Loser,Braveheart,Where Eagles Dare,Polyester,1
"Braveheart, Pulp Fiction, The Shawshank Redemption, The Fugitive:",Death Wish 4 The Crackdown,Get Shorty,"Family Guy Presents Something, Something, Something, Dark Side",And Now Ladies and Gentlemen,1
"The Fugitive, The Shawshank Redemption, Braveheart, Pulp Fiction:",Dances with Wolves,The Snapper,When the Levees Broke A Requiem in Four Acts,To Live and Die in LA,0
